FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.65398616,98.38993066,48.276,98,2,Spring,FR1
86.67196349,100.4741122,53.1,325,3,Summer,FR1
86.38552276,101.9349209,33.804,162,1,Summer,FR1
87.78202074,103.8991198,59.544,307,4,Summer,FR1
90.5105591,106.4483122,43.452,328,3,Summer,FR1
90.90939776,108.7047968,61.164,36,5,Summer,FR1
90.79140923,110.8404313,45.072,325,4,Summer,FR1
94.74749946,114.1522988,59.544,332,5,Summer,FR1
90.29597844,115.9872191,48.276,182,4,Summer,FR1
82.28725582,116.5855092,38.628,101,1,Summer,FR1
79.21399739,107.4186945,62.748,118,2,Summer,FR1
83.71840398,108.8191738,41.832,134,1,Summer,FR1
86.79775937,110.9013812,43.452,104,2,Summer,FR1
90.27048642,114.0292729,40.248,13,3,Summer,FR1
92.70767108,117.8669868,27.36,97,2,Summer,FR1
91.85854261,121.1421179,45.072,157,4,Summer,FR1
90.73065606,123.9190929,61.164,320,5,Summer,FR1
85.61088863,124.8831255,48.276,335,2,Summer,FR1
81.7462798,125.4461265,57.924,324,2,Summer,FR1
84.77755082,126.9475942,53.1,328,3,Summer,FR1
91.20437419,130.1087769,53.1,321,5,Summer,FR1
92.95332454,133.5080041,46.656,335,5,Summer,FR1
92.0484744,136.4117529,41.832,315,4,Summer,FR1
80.34199196,137.2267278,33.804,202,1,Summer,FR1
87.12032786,139.862143,57.924,324,4,Summer,FR1
94.18082614,143.5993083,48.276,353,5,Summer,FR1
96.04490646,147.8300982,38.628,4,5,Summer,FR1
97.0283086,152.5655947,53.1,352,5,Summer,FR1
97.07998647,157.1079761,48.276,343,5,Summer,FR1
95.86574648,160.8604534,57.924,340,5,Summer,FR1
95.91704054,164.6662343,57.924,332,5,Summer,FR1
89.72841533,166.4530748,70.812,332,5,Summer,FR1
89.99717639,169.2854112,51.516,350,4,Summer,FR1
94.45266352,173.4147846,46.656,330,5,Summer,FR1
93.93778939,176.8834741,53.1,344,5,Summer,FR1
92.26831436,179.8070669,38.628,353,4,Summer,FR1
96.41678097,184.2268396,53.1,347,5,Summer,FR1
95.95832236,188.0564179,74.016,348,5,Summer,FR1
96.00964698,191.728662,64.368,341,5,Summer,FR1
96.06098854,195.4737135,41.832,4,5,Summer,FR1
96.9662434,199.8475885,45.072,31,5,Summer,FR1
97.01790079,204.4866182,41.832,15,5,Summer,FR1
93.95762465,208.3466364,35.424,98,4,Summer,FR1
89.64452274,211.2719504,48.276,36,4,Summer,FR1
89.950863,214.7125224,45.072,340,4,Summer,FR1
90.01324124,218.0741354,43.452,143,4,Summer,FR1
87.14598769,162.2214785,28.98,160,1,Summer,FR1
85.3207658,163.8777795,27.36,98,1,Summer,FR1
88.13133102,167.0087317,43.452,26,3,Summer,FR1
89.78066918,170.5295777,45.072,36,4,Summer,FR1
89.82995424,173.9392813,37.008,85,3,Summer,FR1
90.77225015,177.8469052,35.424,45,3,Summer,FR1
92.38390749,182.2054885,48.276,360,5,Summer,FR1
92.3325472,185.9040794,46.656,106,5,Summer,FR1
88.80007051,188.3964036,48.276,107,4,Summer,FR1
84.73368091,189.920498,25.74,167,1,Summer,FR1
85.65499763,192.2886408,25.74,306,1,Summer,FR1
86.40243554,194.6155858,48.276,57,3,Summer,FR1
87.9341281,197.3409468,27.36,104,1,Summer,FR1
86.84356816,199.3552186,32.184,143,1,Summer,FR1
86.89188354,201.8483455,27.36,85,1,Summer,FR1
88.6792955,205.0014536,27.36,330,1,Summer,FR1
87.72247182,207.2976504,37.008,87,2,Summer,FR1
86.02615832,209.1934061,30.564,62,1,Summer,FR1
85.12146389,210.8778413,28.98,137,1,Summer,FR1
83.19656365,212.1926834,38.628,160,1,Summer,FR1
